现代,酷派 2.5T,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
现代,酷派 2.7T,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
标致,206,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
东南,菱帅,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
本田,飞度,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
铃木,雨燕,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html, 
海马,海马3,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html,
雷诺, SCENIC,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html,
现代,伊朗特,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html,
菲亚特,TURBO,AVENGER-HP,/images/product3_pic1.jpg,产品定位：运动型轿车轮胎,轮辋：15”，16”，17”，18”,速度：H,SKU：14个,适合路况：高速公路，国道，省道，城市街道,制造地: CKT（中国昆山工厂）,上市时间: 2012年8月,/mc-hp.html,
