DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,30X9.50R15LT,104Q,LT,6PR,白胎侧,7.5,6.5-8.5,248.92,754.38,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,长城赛弗改装   三菱帕杰罗速跑改装 特拉卡改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,31X10.50R15LT,109Q,LT,6PR,白胎侧,8.5,7.0-9.0,275.59,781.05,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,三菱帕杰罗速跑V63000  长丰猎豹CF A2030A/B V6.云豹 YB途乐2030.长城大脚兽. 陆地巡洋舰2700/3400改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,32X11.50R15LT,113Q,LT,6PR,白胎侧,9,8.0-10.0,289.56,806.704,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,北京切诺基六缸，三菱帕捷罗V6 改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,33X12.50R15LT,108Q,LT,6PR,白胎侧,10,8.5-11.0,306.832,832.104,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,Jeep Wrangler 三菱帕捷罗V6.北京切诺基六缸改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,35X12.50R15LT,113Q,LT,6PR,白胎侧,10,8.5-11.0,309.88,882.904,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,96款路虎发现2改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT265/70R16,110/107Q,LT,6PR,白胎侧,8,7.0-8.5,277.876,783.844,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,长丰三菱帕杰罗V73 V6   帕杰罗GLS   丰田陆地巡洋舰2700/3400 北汽陆霸3400.富奇系列.丰田霸道2700.北汽福田BJ6470.日产途乐,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT305/70R16,118/115Q,LT,8PR,白胎侧,9,8.0-9.5,304.8,839.978,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,Nissan Patrol GQ/GU.TOYOTA LandCruiser 100RV升级产品,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT225/75R16,115/112Q,LT,10PR,白胎侧,6,6.0-7.0,220.98,750.062,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,北汽角斗士.中兴汽车旗舰.道奇公羊.中兴驰野,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT245/75R16,120/116Q,LT,10PR,白胎侧,7,6.5-7.0,240.03,779.78,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,江铃陆风  中兴金狮  庆铃竞技者 牧马人无限鲁比科/进口  无限鲁比科/进口  尼桑领路者/进口.长丰猎豹.丰田吉普.大切诺基V8.雪佛兰Suburban.三菱帕杰罗GLX.五十铃吉普,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT265/75R16,123/120Q,LT,10PR,白胎侧,7.5,7.0-8.0,256.54,812.8,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,丰田FG 悍马H3.北汽勇士.福特Excursion..三菱吉普吉普二代军车.帕杰罗、猎豹、华泰吉田、途乐Y60（升级）、切诺基（升级）、庆铃RODEO、江铃陆风、陆地巡洋舰80（升级）、帕拉丁,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT285/75R16,122/119Q,LT,8PR,白胎侧,8,7.5-9.0,287.02,840.74,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,悍马H3.现代特拉卡.陆地巡洋舰.帕杰罗.途乐4800.,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT315/75R16,121Q,LT,8PR,白胎侧,8.5,8.0-10.0,302.768,875.538,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,Ford F150 （陆风.现代特拉卡.陆地巡洋舰）升级改装,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT235/85R16,120/116Q,LT,10PR,黑胎侧,6.5,6.0-7.0,246.38,807.72,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,南京依维柯.湖南长丰猎豹CJY6470E/CJY6421D.丰田吉普.三菱吉普.陆虎DEFENDER2.5,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT265/70R17,121/118Q,LT,10PR,白胎侧,8,7.0-8.5,274.32,810.26,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,凯迪拉克 Escalade 6.0 V8  道奇公羊皮卡1500  升级（丰田FJ CRUISER 丰田LC120 普拉多 丰田LC100 陆地巡洋舰  日产Y61  途乐 4800  三菱V73/77 帕杰罗   吉普牧马人  2007款  ）,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT285/70R17,121/118Q,LT,8PR,白胎侧,8.5,7.5-9.5,292.1,838.2,YES,GB9743-2007(轿车轮胎)GB9744-2007（载重汽车轮胎）,HUMMER H2 东风猛士,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,LT295/70R17,121/118Q,LT,8PR,黑胎侧,8.5,7.5-10.0,299.72,849.63,免,GB外规格,悍马升级,
DISCOVERER STT,/image/img03.jpg,Discoverer STT外观粗狂坚实，是越野车型的理想选择。Discoverer STT可为你提供强劲的核心牵引力。深胎肩花纹和独特的大块花纹设计给你提供超乎寻常的强大抓地力。,/stt_detail.htm,35X12.50R18LT,123Q,LT,10PR,白胎侧,10,8.5-11.0,317.5,882.904,免,GB外规格,2008款福特F-150 SuperCrew 4X4,
