ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,215/40R17,83W,,7.5,7.0-8.5,350,487,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"欧宝,罗孚.本田NSX.马自达SPJEED.莲花精灵S4S 前轮"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,245/45R17,95W,,8.0,7.5-9.0,350,690,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,奥迪A6.宝马5系.奔驰E系
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,215/45R17,91Y ,XL,7.0,7.0-8.0,340,615,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"马自达6.福特,雷克萨斯IS200,欧宝,萨博,凌志IS200.菲亚特短剑.速波IMPREZA WRX.酷派2.4L.三菱Lancer EVLUTION 系列,富士重工LEGACY/斯巴鲁IMPREZA(翼豹),宝莱升级,高尔夫升级,广州本田雅阁升级"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,225/45R17,94Y,XL,7.5,7.0-8.5,340,670,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"沃尔沃C70,奥迪TT2.0QUATTRO/3.0QUATTRO,九代三菱LancerEVLUTION奥迪A3,宝马Z3/Z4,318i,325Ci.欧宝雷诺,萨博,斯科达,斯巴鲁,奔驰C320/C200/C230/CLK280/SLK200/SLK350/.罗孚75.罗密欧156GTA.雷克萨斯IS300.莲花 ELISE;升级尺寸（宝来.帕萨特.本田.马自达6）"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,235/45R17,94Y,,8.0,7.5-9.0,350,670,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"宝马520i/530Ci,/雷克萨斯GS430/GS430.一汽奥迪A4.A6L进口大众 EOS,一汽大众迈腾，三菱Lance evolution2.0四驱.博萨9-5.沃尔沃S60/C70,蒙迪欧致胜，本田讴歌3.2TL,斯巴鲁翼豹2007款2.5WRX 掀背"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,195/50R15,82V,,6.0,5.5-7.0,300,475,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"捷达高配,一汽丰田威驰,天津一汽威姿,大众高尔2.0,斯柯达Fabia晶锐.精灵Smart forfour passion,上海大众POLO 1.4/1.6,双环小贵族,捷达升级,广州本田飞度升级,吉利雳靓"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,205/50R16,87V,,6.5,5.5-7.5,300,545,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"伊兰特1.8,MINI,赛拉图Sport,雷诺风景,丰田Celica GT-S/花冠,速波legacy.OPEL,MAZDA6,SAAB.日产阳光.沃尔沃850/S70/S40.菲亚特COUPE TURBO 2.0Turbo."
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,215/50R17,95W,XL,7.0,6.0-7.5,340,690,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"标致407/408,别克GL8,英朗,名爵MG6，荣威550，斯巴鲁力狮 法拉利348 GTS、荣威750, 欧宝 VECTRA 威达;讴歌 3.2CL ; 法拉利 348 ts 雷克萨斯 ES 350;一汽丰田 锐志 3.0V PREMIUM;一汽丰田 皇冠 ROYAL SALOON G;广州丰田 凯美瑞 240V,丰田皇冠、日产天籁"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,225/50R16,92W,,7.0,6.0-8.0,350,630,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,"伊兰特1.8,MINI,赛拉图Sport,雷诺风景,丰田Celica GT-S,速波legacy.宝马 Z3/Z4/325Ci/5系列,RENAULT,宝马Z3,奔驰CLK230/C200/C240/CLK240/SLK200/SLK230/E350.本田S2000.别克荣御.沃尔沃C70 2.0i/2.3i.保时捷Boxster(后轮)"
ZEON ASP,/image/img0311.jpg,ZEON ASP专为中国的驾车人士度身定制，四道沟槽设计和各种条纹设计使ZEON ASP具备动力之外的另一个优势——操控。,/asp_detail.htm,225/50R17,98W,XL,7.0,6.0-8.0,340,750,YES,GB9743-2007（轿车轮胎）GB9744-2007（载重汽车轮胎）,宝马530i/545i系.标致607.凯迪拉克CTS.雪铁龙C6.奥迪A6L 2.4/3.0/4.2.QUATTRO.沃尔沃S80.雷克萨斯GS300.索纳塔NF.日产350Z
