ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,205/55R16 ,91W,,6.5,5.5-7.5,350,615,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"朗逸1.6/2.0,奥迪A62.8/2.4/1.8/1.8T,宝马318i/328i/320i,尼桑蓝鸟,帕萨特2.8V6,途安2.0/1.8T,福特蒙迪欧2.0/2.5,福克斯2.0,雪佛兰景程,马自达M62.0/2.0/WAGON,中华尊驰/骏捷,现代悦达起亚远舰,长安马自达3,宝来,速腾,奔驰C200/C240/CLK230/CLK240/SLK200/SLK230,标致307CC,大众新甲壳虫,奇瑞东方之子AT/V5,雷克萨斯IS200,克莱斯勒PT漫步者2.0,沃尔沃S40/S60/S90,现代酷派.雷诺梅甘娜/风景,斯巴鲁力狮,斯柯达速派,阿尔法.罗密欧156,菲亚特短剑,保时捷Boxster(前轮)"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,225/45R17 ,94W,XL,7.5,7.0-8.5,340,670,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"沃尔沃C70,奥迪TT2.0QUATTRO/3.0QUATTRO,九代三菱LancerEVLUTION奥迪A3,宝马Z3/Z4,318i,325Ci.欧宝雷诺,萨博,斯科达,斯巴鲁,奔驰C320/C200/C230/CLK280/SLK200/SLK350/.罗孚75.罗密欧156GTA.雷克萨斯IS300.莲花 ELISE;升级尺寸（宝来.帕萨特.本田.马自达6）"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,245/45R17 ,95W,,8.5,8.0-9.5,350,690,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"奔驰E350,奥迪A6,宝马5系,L雷克萨斯IS300,捷豹S-Type"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,235/45R17 ,94W,,8.0,7.5-9.0,350,670,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"宝马520i/530Ci,/雷克萨斯GS430/GS430.一汽奥迪A4.A6L进口大众 EOS,一汽大众迈腾，三菱Lance evolution2.0四驱.博萨9-5.沃尔沃S60/C70,蒙迪欧致胜，本田讴歌3.2TL,斯巴鲁翼豹2007款2.5WRX 掀背"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,215/45R17 ,91W,XL,7.0,7.0-8.0,340,615,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"北京现代伊兰特/酷派,本田雅阁/思域,上海大众帕萨特,马自达6,中华 骏捷WAGON/尊驰,雷克萨斯IS200 SEDAN,菲亚特短剑.酷派2.4L.三菱Lancer EVLUTION 系列,斯巴鲁LEGACY/翼豹,宝莱升级,高尔夫升级"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,235/55R17 ,99W,,7.5,6.5-8.5,350,775,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"大众Tuguan,宝马X3,奥迪A8系列,奥迪A6 2.8,大众辉腾Multivan,现代雅尊,捷豹XJ8皇家加长版3.0L,奔驰S350/S500,凯迪拉克DTS V8."
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,205/50R17 ,93W,XL,7.0,6.0-7.5,340,650,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,沃尔沃S40/C30/S40 2.4i T5;中华 酷宝 1.8T AT宝马530i
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,225/50R17 ,98W,XL,7.0,6.0-8.0,340,750,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"宝马530i/545i系,标致607,凯迪拉克CTS,雪铁龙C6,奥迪A6L 2.4/3.0/4.2.QUATTRO,沃尔沃S80,雷克萨斯GS300,索纳塔NF,日产350Z"
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,225/55R16 ,95W,,7.0,6.0-8.0,350,690,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"奥迪A6L 3.0,雷克萨斯GS300,沃尔沃S80 2.9T6,宝马520i/523i/528i/530i/535i,奔驰E240/E280/E320/E350/E200K/SL300/SL500,凯迪拉克CTS2.8/3.6,别克荣御GS3.6,马自达RX8,标致607..雷诺太空,三菱30000GT,捷豹S'-TYPE3.0 V6,福特野马GT."
ZEON RS3-A,/image/img0310.jpg,固铂超高性能轮胎家族最新成员“驭行 Zeon RS3-A”极速登场，搭载固铂全新安全系统DAT动态盔甲技术TM，为您全天候的驾控提供卓越的干湿地抓地力与弯道稳定性。,/rs3-a_detail.htm,245/45R18 ,96W,,8.0,7.5-9.0,350,710,中国,Yes,GB9743-2007(轿车轮胎) GB9744-2007（载重汽车轮胎）,"上海通用君越3.0/新君威2.0T 2.4L,宝马Z8/630ci/645ci/645i.玛莎拉蒂Quattroporte 前轮.雪铁龙2007款C6,奥迪A8 2.8i/6.0i, 奔驰CL500/S350/S500/S600/S55AMG,尼桑350,捷豹XK8/R前轮.法拉利612 SCAGLIRTTI.无限Q45.雷克萨斯LS430欧宝GT硬顶2.0TT,日产350Z 3.5V6后轮/Altima SE-R 3.5V6后轮/RL 370Z V6 3.7后轮, 英菲尼迪无限Q45 V8,讴歌RL 3.7L/TL3.5,现代劳恩斯酷派2.0T"
