Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,60 Series,,,,,
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,215/60R17,96T,6.5,6.0-7.5,229,692
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,215/60R16,95T,6.5,6.0-7.5,216,664
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,65 Series,,,,,
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,215/65R16,98T,6.5,6.0-7.5,217,685
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,70 Series,,,,,
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,215/70R15,98S,6.5,5.5-7.5,213,683
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,205/70R15,96S,6.0,5.0-7.0,203,671
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,75 Series,,,,,
Cooper Weather Master ST2,/image/products_list_winter_img04.jpg,Cooper Weather Master ST2是一款高端的、可镶钉的冬季胎。专利的雪地沟槽技术，高牵引力的胎面设计可为车主提供极佳的冰雪地抓地力和舒适的驾驶乐趣。,/st2_detail.htm,215/75R15,100S,6.0,5.5-7.0,213,706
